borrower_id,loan_id,default_date,default_flag
731,3236,2014-03-10 00:00:00,True
732,166,,False
736,162,,False
736,1364,,False
736,5846,,False
736,27755,2016-10-20 23:59:59,True
740,157,,False
740,897,2013-06-19 19:00:00,True
743,161,,False
743,1391,2013-10-04 19:00:00,True
749,163,2012-07-28 17:21:44,True
752,167,,False
752,1051,,False
752,4463,2014-03-10 00:00:00,True
754,171,2012-08-17 17:24:53,True
758,190,,False
758,604,,False
758,2207,2015-10-19 23:59:59,True
761,169,,False
761,955,,False
767,194,,False
767,475,2013-12-15 17:54:31,True
771,386,,False
771,1269,,False
771,8025,,False
771,10413,,False
771,13220,,False
771,19998,,False
771,27043,,False
771,47250,2016-11-20 23:59:59,True
772,176,,False
772,450,2013-06-06 04:58:20,True
773,174,2012-08-17 17:26:34,True
780,193,,False
780,431,,False
780,2698,2014-10-18 00:00:00,True
782,181,,False
782,485,,False
782,3005,,False
782,4971,,False
782,10609,2014-12-28 21:13:43,True
783,170,,False
783,564,,False
783,4704,2014-04-07 00:00:00,True
787,186,2012-05-25 14:55:48,True
792,270,,False
792,2877,2014-06-30 00:00:00,True
796,188,,False
796,815,,False
796,975,,False
796,3178,2013-10-28 00:00:00,True
798,179,,False
798,813,,False
798,3609,,False
799,180,,False
799,639,,False
799,3176,,False
800,178,,False
800,641,,False
800,2896,2013-11-14 23:00:00,True
801,177,,False
801,668,,False
801,4377,2014-03-15 00:00:00,True
808,175,2012-12-29 15:03:49,True
812,443,,False
812,6272,,False
812,6649,,False
812,7872,,False
812,8731,,False
812,10753,,False
812,20680,2016-06-12 23:59:59,True
812,26755,,False
812,27620,2016-05-23 23:59:59,True
817,189,,False
817,351,,False
817,493,,False
817,1647,,False
817,5096,,False
820,192,,False
820,690,2013-05-24 05:38:12,True
821,185,,False
821,1257,,False
821,4801,2014-10-25 00:00:00,True
849,196,,False
849,366,,False
849,1068,2013-09-14 19:00:00,True
851,201,,False
851,363,,False
851,1259,,False
851,4664,,False
851,10866,2015-03-29 18:53:11,True
853,195,2013-10-11 13:03:29,True
857,200,,False
857,898,,False
857,3268,2014-08-10 00:00:00,True
864,206,,False
864,1479,,False
864,25953,2016-10-30 23:59:59,True
865,199,,False
865,394,,False
865,677,,False
865,3564,,False
865,6496,,False
865,16584,,False
867,205,,False
867,1020,2013-06-14 19:00:00,True
873,204,2013-05-11 12:58:10,True
874,209,,False
874,940,2013-10-09 19:00:00,True
875,212,,False
875,407,2014-07-25 08:06:49,True
877,244,,False
879,207,,False
879,761,2013-06-06 23:56:12,True
880,211,,False
880,715,2013-08-11 15:43:25,True
881,210,2013-04-11 13:01:59,True
883,241,,False
883,1367,,False
883,8912,2014-09-30 01:52:19,True
884,215,,False
884,1100,2013-09-14 19:00:00,True
886,221,,False
886,1995,2014-01-07 23:00:00,True
895,216,,False
895,1199,2013-12-19 18:00:00,True
897,222,,False
897,1458,2014-02-14 23:00:00,True
898,223,2012-07-04 14:13:54,True
899,235,2012-09-13 08:28:20,True
900,219,,False
900,385,,False
900,994,,False
900,4027,2014-02-09 23:00:00,True
902,217,,False
902,636,2013-09-10 10:01:52,True
903,218,,False
903,2315,,False
903,4491,,False
904,220,2012-12-27 13:46:29,True
907,224,,False
907,1587,2015-06-17 00:00:00,True
908,256,,False
908,1533,2013-11-19 23:00:00,True
910,236,,False
910,602,2013-07-30 16:45:09,True
911,237,,False
911,380,,False
911,1107,2013-04-17 19:00:00,True
912,238,,False
913,247,,False
913,1944,2013-12-14 23:00:00,True
915,246,,False
915,342,,False
915,1464,,False
915,4733,,False
915,26050,2016-01-03 23:59:59,True
918,228,2013-01-29 08:01:17,True
919,239,,False
919,1482,,False
920,229,,False
920,546,,False
920,3985,2015-02-13 23:00:00,True
922,233,,False
922,645,,False
922,3861,2014-03-15 00:00:00,True
924,267,,False
924,360,,False
924,1124,2013-07-25 19:00:00,True
929,245,,False
929,2375,,False
931,231,2012-11-29 08:02:23,True
932,230,,False
932,1309,,False
932,6215,2014-07-28 15:02:14,True
934,240,,False
934,406,,False
934,767,2014-12-06 22:44:53,True
936,1156,,False
936,2227,,False
936,8246,2014-10-24 20:39:04,True
938,248,,False
938,1461,,False
938,5475,,False
938,12546,2015-11-08 16:39:57,True
940,264,,False
940,596,,False
940,5560,,False
941,249,,False
941,773,,False
941,3116,2014-07-15 00:00:00,True
942,413,,False
942,762,,False
942,3375,2014-04-15 00:00:00,True
943,252,,False
943,811,2014-06-30 09:35:18,True
945,251,,False
945,505,,False
945,1465,,False
945,6291,2015-07-03 11:41:30,True
946,281,,False
946,630,,False
946,3675,,False
946,8384,2014-10-30 18:08:29,True
948,250,,False
948,1481,,False
948,7539,2014-11-07 00:09:24,True
950,272,,False
950,643,2013-09-21 09:10:48,True
963,257,,False
963,871,,False
963,3954,2014-02-08 23:00:00,True
967,253,2013-06-12 13:02:10,True
973,258,,False
973,1022,,False
973,3752,2015-01-14 23:00:00,True
974,254,,False
1001,271,2013-08-09 08:06:08,True
1003,330,,False
1003,1852,,False
1003,5743,,False
1003,14842,2015-05-24 23:59:59,True
1004,317,,False
1004,735,2014-05-04 20:35:02,True
1015,275,,False
1015,1657,,False
1015,5101,2014-04-16 00:00:00,True
1016,497,,False
1016,1223,2014-09-23 19:00:00,True
1018,582,,False
1018,4202,2014-07-07 00:00:00,True
1021,337,,False
1021,414,,False
1021,1345,,False
1021,4356,,False
1021,22011,2016-11-06 23:59:59,True
1028,276,2013-07-29 09:21:50,True
1029,277,2013-05-01 09:02:05,True
1030,517,,False
1030,1919,,False
1031,324,,False
1031,912,,False
1031,4266,,False
1031,31603,2016-12-16 23:59:59,True
1059,479,,False
1059,2884,,False
1059,10727,2015-08-02 14:09:22,True
1077,318,,False
1077,561,,False
1077,2148,,False
1077,7899,,False
1079,279,,False
1079,578,2014-05-10 10:01:12,True
1080,294,2013-05-17 08:19:55,True
1085,287,,False
1085,974,,False
1085,3780,2016-11-15 23:59:59,True
1086,341,2012-11-09 18:13:45,True
1097,1133,,False
1098,299,,False
1098,1178,,False
1098,3139,2014-08-15 00:00:00,True
1099,301,,False
1099,474,,False
1099,3291,,False
1099,9164,2015-05-04 16:42:01,True
1104,320,,False
1104,1060,2013-07-14 19:00:00,True
1111,300,,False
1111,594,,False
1111,3105,,False
1111,14903,2016-01-03 23:59:59,True
1112,285,,False
1112,1701,,False
1112,4396,2015-04-10 00:00:00,True
1113,288,2013-05-09 08:27:44,True
1115,499,,False
1115,1700,,False
1115,3248,,False
1115,9013,2015-10-29 16:47:02,True
